DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
11/27,8:00 PM,7:00 PM,3IN4-B2B,Los Angeles Clippers,Memphis Grizzlies,1,FedExForum
11/27,8:30 PM,7:30 PM,1,Minnesota Timberwolves,San Antonio Spurs,1,AT&T Center
11/27,9:00 PM,6:00 PM,3IN4-B2B,Washington Wizards,Phoenix Suns,2,Talking Stick Resort Arena
11/27,9:30 PM,8:30 PM,1,Los Angeles Lakers,New Orleans Pelicans,2,Smoothie King Center
11/27,10:00 PM,7:00 PM,1,Oklahoma City Thunder,Portland Trail Blazers,1,Moda Center
11/27,10:30 PM,7:30 PM,1,Chicago Bulls,Golden State Warriors,1,Chase Center
11/29,7:00 PM,7:00 PM,1,Charlotte Hornets,Detroit Pistons,1,Little Caesars Arena
11/29,7:00 PM,7:00 PM,1,Toronto Raptors,Orlando Magic,1,Amway Center
11/29,7:30 PM,7:30 PM,1,Milwaukee Bucks,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
11/29,7:30 PM,7:30 PM,1,Philadelphia 76ers,New York Knicks,1,Madison Square Garden
11/29,8:00 PM,8:00 PM,1,Atlanta Hawks,Indiana Pacers,1,Bankers Life Fieldhouse
11/29,8:00 PM,8:00 PM,1,Golden State Warriors,Miami Heat,1,American Airlines Arena
11/29,8:00 PM,7:00 PM,1,Utah Jazz,Memphis Grizzlies,1,FedExForum
11/29,8:00 PM,7:00 PM,1,New Orleans Pelicans,Oklahoma City Thunder,1,Chesapeake Energy Arena
11/29,8:30 PM,7:30 PM,3IN4,Los Angeles Clippers,San Antonio Spurs,1,AT&T Center
11/29,9:00 PM,6:00 PM,2,Dallas Mavericks,Phoenix Suns,1,Talking Stick Resort Arena
11/29,10:00 PM,7:00 PM,1,Chicago Bulls,Portland Trail Blazers,1,Moda Center
11/29,10:30 PM,7:30 PM,3IN4,Washington Wizards,Los Angeles Lakers,1,Staples Center
11/29,12:00 PM,12:00 PM,1,Boston Celtics,Brooklyn Nets,1,Barclays Center
11/30,5:00 PM,2:00 PM,3+,Denver Nuggets,Sacramento Kings,2,Golden 1 Center
11/30,7:00 PM,7:00 PM,3IN4-B2B,Indiana Pacers,Philadelphia 76ers,3IN4-B2B,Wells Fargo Center
11/30,8:00 PM,7:00 PM,3IN4-B2B,Atlanta Hawks,Houston Rockets,2,Toyota Center
11/30,8:00 PM,7:00 PM,3IN4-B2B,Charlotte Hornets,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
12/1,3:00 PM,3:00 PM,1,Miami Heat,Brooklyn Nets,1,Barclays Center
12/1,3:30 PM,3:30 PM,1,Boston Celtics,New York Knicks,1,Madison Square Garden
12/1,3:30 PM,2:30 PM,1,Memphis Grizzlies,Minnesota Timberwolves,3+,Target Center
12/1,4:00 PM,1:00 PM,1,Dallas Mavericks,Los Angeles Lakers,1,Staples Center
12/1,5:00 PM,5:00 PM,1,San Antonio Spurs,Detroit Pistons,1,Little Caesars Arena
12/1,5:00 PM,4:00 PM,1,Oklahoma City Thunder,New Orleans Pelicans,1,Smoothie King Center
12/1,6:00 PM,6:00 PM,1,Golden State Warriors,Orlando Magic,1,Amway Center
12/1,6:00 PM,6:00 PM,1,Utah Jazz,Toronto Raptors,1,Scotiabank Arena
12/1,10:30 PM,7:30 PM,1,Washington Wizards,Los Angeles Clippers,1,Staples Center
12/2,7:00 PM,7:00 PM,2,Phoenix Suns,Charlotte Hornets,3IN4,Spectrum Center
12/2,7:00 PM,7:00 PM,3IN4-B2B,Utah Jazz,Philadelphia 76ers,3IN4,Wells Fargo Center
12/2,7:30 PM,7:30 PM,3IN4-B2B,Golden State Warriors,Atlanta Hawks,3IN4,State Farm Arena
12/2,8:00 PM,7:00 PM,3IN4,Indiana Pacers,Memphis Grizzlies,3IN4-B2B,FedExForum
12/2,8:00 PM,7:00 PM,3IN4-B2B,New York Knicks,Milwaukee Bucks,3IN4,Fiserv Forum
12/2,10:00 PM,7:00 PM,2,Chicago Bulls,Sacramento Kings,1,Golden 1 Center
12/3,7:00 PM,7:00 PM,1,Detroit Pistons,Cleveland Cavaliers,3+,Rocket Mortgage FieldHouse
12/3,7:00 PM,7:00 PM,1,Orlando Magic,Washington Wizards,1,Capital One Arena
12/3,7:30 PM,6:30 PM,1,Dallas Mavericks,New Orleans Pelicans,1,Smoothie King Center
12/3,7:30 PM,7:30 PM,1,Miami Heat,Toronto Raptors,1,Scotiabank Arena
12/3,8:30 PM,7:30 PM,2,Houston Rockets,San Antonio Spurs,1,AT&T Center
12/3,9:00 PM,7:00 PM,1,Los Angeles Lakers,Denver Nuggets,2,Pepsi Center
12/3,10:00 PM,7:00 PM,3+,Portland Trail Blazers,Los Angeles Clippers,1,Staples Center
12/4,7:00 PM,7:00 PM,3IN4,Golden State Warriors,Charlotte Hornets,1,Spectrum Center
12/4,7:00 PM,7:00 PM,1,Milwaukee Bucks,Detroit Pistons,3IN4-B2B,Little Caesars Arena
12/4,7:00 PM,7:00 PM,1,Phoenix Suns,Orlando Magic,3IN4-B2B,Amway Center
12/4,7:30 PM,7:30 PM,2,Brooklyn Nets,Atlanta Hawks,1,State Farm Arena
12/4,7:30 PM,7:30 PM,3IN4-B2B,Miami Heat,Boston Celtics,2,TD Garden
12/4,8:00 PM,7:00 PM,3IN4,Memphis Grizzlies,Chicago Bulls,1,United Center
12/4,8:00 PM,7:00 PM,1,Indiana Pacers,Oklahoma City Thunder,2,Chesapeake Energy Arena
12/4,8:30 PM,7:30 PM,2,Minnesota Timberwolves,Dallas Mavericks,3IN4-B2B,American Airlines Center
12/4,9:00 PM,7:00 PM,3IN4-B2B,Los Angeles Lakers,Utah Jazz,3IN4,Vivint Smart Home Arena
12/4,10:00 PM,7:00 PM,1,Sacramento Kings,Portland Trail Blazers,B2B,Moda Center
12/5,7:00 PM,7:00 PM,2,Philadelphia 76ers,Washington Wizards,1,Capital One Arena
12/5,7:30 PM,7:30 PM,1,Denver Nuggets,New York Knicks,2,Madison Square Garden
12/5,7:30 PM,7:30 PM,1,Houston Rockets,Toronto Raptors,1,Scotiabank Arena
12/5,8:00 PM,7:00 PM,3IN4-B2B,Phoenix Suns,New Orleans Pelicans,1,Smoothie King Center
12/6,7:00 PM,7:00 PM,1,Brooklyn Nets,Charlotte Hornets,1,Spectrum Center
12/6,7:00 PM,7:00 PM,3IN4,Orlando Magic,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
12/6,7:00 PM,7:00 PM,1,Indiana Pacers,Detroit Pistons,3IN4,Little Caesars Arena
12/6,8:00 PM,8:00 PM,3IN4-B2B,Denver Nuggets,Boston Celtics,1,TD Garden
12/6,8:00 PM,7:00 PM,1,Golden State Warriors,Chicago Bulls,1,United Center
12/6,8:00 PM,8:00 PM,3IN4-B2B,Washington Wizards,Miami Heat,3IN4,American Airlines Arena
12/6,8:00 PM,7:00 PM,1,Minnesota Timberwolves,Oklahoma City Thunder,1,Chesapeake Energy Arena
12/6,8:30 PM,7:30 PM,2,Los Angeles Clippers,Milwaukee Bucks,1,Fiserv Forum
12/6,8:30 PM,7:30 PM,1,Sacramento Kings,San Antonio Spurs,2,AT&T Center
12/6,10:30 PM,7:30 PM,3IN4,Los Angeles Lakers,Portland Trail Blazers,3IN4,Moda Center
12/7,2:00 PM,1:00 PM,1,New Orleans Pelicans,Dallas Mavericks,2,American Airlines Center
12/7,7:30 PM,7:30 PM,B2B,Cleveland Cavaliers,Philadelphia 76ers,1,Wells Fargo Center
12/7,7:30 PM,7:30 PM,3IN4-B2B,Indiana Pacers,New York Knicks,1,Madison Square Garden
12/7,8:00 PM,7:00 PM,3IN4,Phoenix Suns,Houston Rockets,1,Toyota Center
12/7,10:00 PM,8:00 PM,2,Memphis Grizzlies,Utah Jazz,2,Vivint Smart Home Arena
12/8,3:00 PM,3:00 PM,3IN4,Denver Nuggets,Brooklyn Nets,1,Barclays Center
12/8,5:00 PM,5:00 PM,3+,Atlanta Hawks,Charlotte Hornets,1,Spectrum Center
12/8,6:00 PM,6:00 PM,1,Chicago Bulls,Miami Heat,1,American Airlines Arena
12/8,6:00 PM,6:00 PM,1,Los Angeles Clippers,Washington Wizards,3IN4,Capital One Arena
12/8,6:00 PM,6:00 PM,2,Toronto Raptors,Philadelphia 76ers,3IN4-B2B,Wells Fargo Center
12/8,7:00 PM,6:00 PM,1,Sacramento Kings,Dallas Mavericks,B2B,American Airlines Center
12/8,9:00 PM,6:00 PM,1,Oklahoma City Thunder,Portland Trail Blazers,1,Moda Center
12/8,9:30 PM,6:30 PM,1,Minnesota Timberwolves,Los Angeles Lakers,1,Staples Center
12/9,7:00 PM,7:00 PM,3IN4-B2B,Los Angeles Clippers,Indiana Pacers,3IN4,Bankers Life Fieldhouse
12/9,7:30 PM,7:30 PM,3IN4,Cleveland Cavaliers,Boston Celtics,2,TD Garden
12/9,8:00 PM,7:00 PM,B2B,Toronto Raptors,Chicago Bulls,3IN4-B2B,United Center
12/9,8:00 PM,7:00 PM,2,Detroit Pistons,New Orleans Pelicans,1,Smoothie King Center
12/9,8:00 PM,7:00 PM,3IN4-B2B,Sacramento Kings,Houston Rockets,1,Toyota Center
12/9,8:00 PM,7:00 PM,2,Orlando Magic,Milwaukee Bucks,2,Fiserv Forum
12/9,9:00 PM,6:00 PM,3IN4-B2B,Minnesota Timberwolves,Phoenix Suns,1,Talking Stick Resort Arena
12/9,9:00 PM,7:00 PM,3IN4-B2B,Oklahoma City Thunder,Utah Jazz,1,Vivint Smart Home Arena
12/9,10:30 PM,7:30 PM,1,Memphis Grizzlies,Golden State Warriors,2,Chase Center
12/10,7:00 PM,7:00 PM,1,Washington Wizards,Charlotte Hornets,1,Spectrum Center
12/10,7:00 PM,7:00 PM,1,Denver Nuggets,Philadelphia 76ers,3IN4,Wells Fargo Center
12/10,8:00 PM,8:00 PM,1,Atlanta Hawks,Miami Heat,1,American Airlines Arena
12/10,10:00 PM,7:00 PM,2,New York Knicks,Portland Trail Blazers,1,Moda Center
12/11,7:00 PM,7:00 PM,1,Boston Celtics,Indiana Pacers,1,Bankers Life Fieldhouse
12/11,7:00 PM,7:00 PM,1,Houston Rockets,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
12/11,7:00 PM,7:00 PM,3IN4,Los Angeles Clippers,Toronto Raptors,3IN4,Scotiabank Arena
12/11,7:00 PM,7:00 PM,2,Los Angeles Lakers,Orlando Magic,1,Amway Center
12/11,7:30 PM,7:30 PM,3IN4-B2B,Charlotte Hornets,Brooklyn Nets,2,Barclays Center
12/11,8:00 PM,7:00 PM,3IN4-B2B,Atlanta Hawks,Chicago Bulls,3IN4,United Center
12/11,8:00 PM,7:00 PM,1,Utah Jazz,Minnesota Timberwolves,3IN4,Target Center
12/11,9:00 PM,6:00 PM,1,Memphis Grizzlies,Phoenix Suns,1,Talking Stick Resort Arena
12/11,9:30 PM,8:30 PM,1,New Orleans Pelicans,Milwaukee Bucks,1,Fiserv Forum
12/11,10:00 PM,7:00 PM,3IN4,Oklahoma City Thunder,Sacramento Kings,3IN4,Golden 1 Center
12/11,10:30 PM,7:30 PM,B2B,New York Knicks,Golden State Warriors,1,Chase Center
12/12,8:00 PM,8:00 PM,1,Philadelphia 76ers,Boston Celtics,3IN4-B2B,TD Garden
12/12,8:30 PM,7:30 PM,3IN4-B2B,Cleveland Cavaliers,San Antonio Spurs,3+,AT&T Center
12/12,9:00 PM,9:00 PM,3+,Dallas Mavericks,Detroit Pistons,2,Mexico City Arena in Mexico City
12/12,10:30 PM,8:30 PM,1,Portland Trail Blazers,Denver Nuggets,1,Pepsi Center
12/13,7:00 PM,7:00 PM,1,Houston Rockets,Orlando Magic,1,Amway Center
12/13,7:00 PM,7:00 PM,1,New Orleans Pelicans,Philadelphia 76ers,3IN4-B2B,Wells Fargo Center
12/13,7:30 PM,7:30 PM,1,Indiana Pacers,Atlanta Hawks,3IN4,State Farm Arena
12/13,8:00 PM,7:00 PM,3IN4,Charlotte Hornets,Chicago Bulls,1,United Center
12/13,8:00 PM,7:00 PM,1,Los Angeles Clippers,Minnesota Timberwolves,1,Target Center
12/13,8:00 PM,8:00 PM,1,Los Angeles Lakers,Miami Heat,2,American Airlines Arena
12/13,8:00 PM,7:00 PM,1,Milwaukee Bucks,Memphis Grizzlies,1,FedExForum
12/13,10:00 PM,7:00 PM,3IN4,New York Knicks,Sacramento Kings,1,Golden 1 Center
12/13,10:30 PM,8:30 PM,1,Golden State Warriors,Utah Jazz,1,Vivint Smart Home Arena
12/14,5:00 PM,2:00 PM,1,San Antonio Spurs,Phoenix Suns,2,Mexico City Arena in Mexico City
12/14,7:30 PM,7:30 PM,2,Brooklyn Nets,Toronto Raptors,2,Scotiabank Arena
12/14,8:00 PM,7:00 PM,3IN4-B2B,Los Angeles Clippers,Chicago Bulls,3IN4-B2B,United Center
12/14,8:00 PM,7:00 PM,3+,Washington Wizards,Memphis Grizzlies,3IN4-B2B,FedExForum
12/14,8:30 PM,7:30 PM,3IN4,Cleveland Cavaliers,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
12/14,8:30 PM,7:30 PM,B2B,Miami Heat,Dallas Mavericks,1,American Airlines Center
12/14,9:00 PM,7:00 PM,2,Oklahoma City Thunder,Denver Nuggets,1,Pepsi Center
12/14,9:00 PM,8:00 PM,1,Detroit Pistons,Houston Rockets,3IN4-B2B,Toyota Center
12/15,3:30 PM,2:30 PM,1,Orlando Magic,New Orleans Pelicans,1,Smoothie King Center
12/15,5:00 PM,5:00 PM,1,Charlotte Hornets,Indiana Pacers,1,Bankers Life Fieldhouse
12/15,6:00 PM,6:00 PM,1,Los Angeles Lakers,Atlanta Hawks,1,State Farm Arena
12/15,6:00 PM,6:00 PM,3IN4,Philadelphia 76ers,Brooklyn Nets,B2B,Barclays Center
12/15,8:00 PM,6:00 PM,1,New York Knicks,Denver Nuggets,3IN4-B2B,Pepsi Center
12/15,8:30 PM,5:30 PM,1,Sacramento Kings,Golden State Warriors,1,Chase Center
12/16,7:00 PM,7:00 PM,1,Washington Wizards,Detroit Pistons,1,Little Caesars Arena
12/16,7:30 PM,7:30 PM,1,Cleveland Cavaliers,Toronto Raptors,1,Scotiabank Arena
12/16,8:00 PM,7:00 PM,3IN4,Chicago Bulls,Oklahoma City Thunder,1,Chesapeake Energy Arena
12/16,8:00 PM,7:00 PM,1,Dallas Mavericks,Milwaukee Bucks,3IN4,Fiserv Forum
12/16,8:00 PM,7:00 PM,1,San Antonio Spurs,Houston Rockets,3IN4,Toyota Center
12/16,8:00 PM,7:00 PM,3IN4,Miami Heat,Memphis Grizzlies,3IN4,FedExForum
12/16,9:00 PM,6:00 PM,3+,Portland Trail Blazers,Phoenix Suns,1,Talking Stick Resort Arena
12/17,7:00 PM,7:00 PM,1,Sacramento Kings,Charlotte Hornets,1,Spectrum Center
12/17,7:00 PM,7:00 PM,1,Los Angeles Lakers,Indiana Pacers,1,Bankers Life Fieldhouse
12/17,7:30 PM,7:30 PM,1,Atlanta Hawks,New York Knicks,1,Madison Square Garden
12/17,8:00 PM,7:00 PM,3IN4,Brooklyn Nets,New Orleans Pelicans,1,Smoothie King Center
12/17,9:00 PM,7:00 PM,1,Orlando Magic,Utah Jazz,3+,Vivint Smart Home Arena
12/17,10:30 PM,7:30 PM,3IN4-B2B,Phoenix Suns,Los Angeles Clippers,2,Staples Center
12/18,7:00 PM,7:00 PM,3IN4-B2B,Charlotte Hornets,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
12/18,7:00 PM,7:00 PM,1,Chicago Bulls,Washington Wizards,1,Capital One Arena
12/18,7:00 PM,7:00 PM,1,Toronto Raptors,Detroit Pistons,1,Little Caesars Arena
12/18,7:30 PM,7:30 PM,1,Miami Heat,Philadelphia 76ers,2,Wells Fargo Center
12/18,8:00 PM,7:00 PM,1,Memphis Grizzlies,Oklahoma City Thunder,1,Chesapeake Energy Arena
12/18,8:00 PM,7:00 PM,3IN4-B2B,New Orleans Pelicans,Minnesota Timberwolves,3+,Target Center
12/18,8:30 PM,7:30 PM,3+,Boston Celtics,Dallas Mavericks,1,American Airlines Center
12/18,9:00 PM,7:00 PM,3IN4-B2B,Orlando Magic,Denver Nuggets,2,Pepsi Center
12/18,10:00 PM,7:00 PM,2,Golden State Warriors,Portland Trail Blazers,1,Moda Center
12/19,7:30 PM,7:30 PM,1,Utah Jazz,Atlanta Hawks,1,State Farm Arena
12/19,8:00 PM,7:00 PM,1,Los Angeles Lakers,Milwaukee Bucks,2,Fiserv Forum
12/19,8:30 PM,7:30 PM,1,Brooklyn Nets,San Antonio Spurs,2,AT&T Center
12/19,10:30 PM,7:30 PM,2,Houston Rockets,Los Angeles Clippers,1,Staples Center
12/20,7:00 PM,7:00 PM,1,Memphis Grizzlies,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
12/20,7:00 PM,7:00 PM,2,Sacramento Kings,Indiana Pacers,2,Bankers Life Fieldhouse
12/20,7:30 PM,7:30 PM,1,Detroit Pistons,Boston Celtics,1,TD Garden
12/20,7:30 PM,7:30 PM,1,Washington Wizards,Toronto Raptors,1,Scotiabank Arena
12/20,8:00 PM,8:00 PM,1,Dallas Mavericks,Philadelphia 76ers,1,Wells Fargo Center
12/20,8:00 PM,8:00 PM,2,New York Knicks,Miami Heat,1,American Airlines Arena
12/20,8:00 PM,7:00 PM,2,Phoenix Suns,Oklahoma City Thunder,1,Chesapeake Energy Arena
12/20,9:00 PM,7:00 PM,1,Minnesota Timberwolves,Denver Nuggets,1,Pepsi Center
12/20,10:00 PM,7:00 PM,3IN4,Orlando Magic,Portland Trail Blazers,1,Moda Center
12/20,10:30 PM,7:30 PM,3IN4,New Orleans Pelicans,Golden State Warriors,1,Chase Center
12/21,5:00 PM,5:00 PM,1,Utah Jazz,Charlotte Hornets,2,Spectrum Center
12/21,6:00 PM,6:00 PM,1,Atlanta Hawks,Brooklyn Nets,1,Barclays Center
12/21,7:00 PM,7:00 PM,2,Chicago Bulls,Detroit Pistons,3IN4-B2B,Little Caesars Arena
12/21,7:00 PM,7:00 PM,3IN4-B2B,Washington Wizards,Philadelphia 76ers,3IN4-B2B,Wells Fargo Center
12/21,7:30 PM,7:30 PM,1,Milwaukee Bucks,New York Knicks,B2B,Madison Square Garden
12/21,8:00 PM,7:00 PM,B2B,Sacramento Kings,Memphis Grizzlies,3IN4-B2B,FedExForum
12/21,8:30 PM,7:30 PM,1,Los Angeles Clippers,San Antonio Spurs,1,AT&T Center
12/21,9:00 PM,6:00 PM,1,Houston Rockets,Phoenix Suns,B2B,Talking Stick Resort Arena
12/21,10:00 PM,7:00 PM,3IN4-B2B,Minnesota Timberwolves,Portland Trail Blazers,3IN4-B2B,Moda Center
12/22,3:30 PM,3:30 PM,1,Dallas Mavericks,Toronto Raptors,1,Scotiabank Arena
12/22,6:00 PM,6:00 PM,B2B,Charlotte Hornets,Boston Celtics,1,TD Garden
12/22,7:00 PM,6:00 PM,1,Indiana Pacers,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
12/22,7:00 PM,6:00 PM,3IN4-B2B,Los Angeles Clippers,Oklahoma City Thunder,1,Chesapeake Energy Arena
12/22,9:30 PM,6:30 PM,1,Denver Nuggets,Los Angeles Lakers,2,Staples Center
12/23,7:00 PM,7:00 PM,1,Atlanta Hawks,Cleveland Cavaliers,2,Rocket Mortgage FieldHouse
12/23,7:00 PM,7:00 PM,1,Chicago Bulls,Orlando Magic,2,Amway Center
12/23,7:00 PM,7:00 PM,3IN4,Philadelphia 76ers,Detroit Pistons,3IN4,Little Caesars Arena
12/23,7:00 PM,7:00 PM,3IN4-B2B,Toronto Raptors,Indiana Pacers,3IN4-B2B,Bankers Life Fieldhouse
12/23,7:00 PM,7:00 PM,3IN4,Washington Wizards,New York Knicks,3IN4,Madison Square Garden
12/23,7:30 PM,7:30 PM,1,Utah Jazz,Miami Heat,2,American Airlines Arena
12/23,8:00 PM,7:00 PM,1,San Antonio Spurs,Memphis Grizzlies,3IN4,FedExForum
12/23,9:00 PM,6:00 PM,3IN4-B2B,Denver Nuggets,Phoenix Suns,3IN4,Talking Stick Resort Arena
12/23,10:00 PM,7:00 PM,1,Houston Rockets,Sacramento Kings,3IN4,Golden 1 Center
12/23,10:00 PM,7:00 PM,2,New Orleans Pelicans,Portland Trail Blazers,3IN4,Moda Center
12/23,10:30 PM,7:30 PM,3IN4,Minnesota Timberwolves,Golden State Warriors,2,Chase Center
12/25,2:30 PM,2:30 PM,2,Milwaukee Bucks,Philadelphia 76ers,1,Wells Fargo Center
12/25,5:00 PM,2:00 PM,1,Houston Rockets,Golden State Warriors,1,Chase Center
12/25,8:00 PM,5:00 PM,2,Los Angeles Clippers,Los Angeles Lakers,2,Staples Center
12/25,10:30 PM,8:30 PM,1,New Orleans Pelicans,Denver Nuggets,3IN4,Pepsi Center
12/25,12:00 PM,12:00 PM,2,Boston Celtics,Toronto Raptors,3IN4,Scotiabank Arena
12/26,7:00 PM,7:00 PM,2,Washington Wizards,Detroit Pistons,2,Little Caesars Arena
12/26,8:00 PM,8:00 PM,2,New York Knicks,Brooklyn Nets,3+,Barclays Center
12/26,8:00 PM,7:00 PM,2,Memphis Grizzlies,Oklahoma City Thunder,3+,Chesapeake Energy Arena
12/26,8:30 PM,7:30 PM,2,San Antonio Spurs,Dallas Mavericks,3+,American Airlines Center
12/26,10:00 PM,7:00 PM,2,Minnesota Timberwolves,Sacramento Kings,2,Golden 1 Center
12/26,10:30 PM,8:30 PM,2,Portland Trail Blazers,Utah Jazz,2,Vivint Smart Home Arena
12/27,4:00 PM,4:00 PM,3+,Cleveland Cavaliers,Boston Celtics,1,TD Garden
12/27,7:00 PM,7:00 PM,B2B,Oklahoma City Thunder,Charlotte Hornets,3+,Spectrum Center
12/27,7:00 PM,7:00 PM,1,Philadelphia 76ers,Orlando Magic,3+,Amway Center
12/27,7:30 PM,7:30 PM,1,Milwaukee Bucks,Atlanta Hawks,3+,State Farm Arena
12/27,8:00 PM,8:00 PM,3+,Indiana Pacers,Miami Heat,3+,American Airlines Arena
12/27,10:30 PM,7:30 PM,3+,Phoenix Suns,Golden State Warriors,1,Chase Center
12/28,5:00 PM,3:00 PM,1,Memphis Grizzlies,Denver Nuggets,2,Pepsi Center
12/28,7:00 PM,7:00 PM,2,Toronto Raptors,Boston Celtics,3IN4-B2B,TD Garden
12/28,7:00 PM,6:00 PM,B2B,Indiana Pacers,New Orleans Pelicans,2,Smoothie King Center
12/28,8:00 PM,7:00 PM,B2B,Atlanta Hawks,Chicago Bulls,3+,United Center
12/28,8:00 PM,7:00 PM,1,Brooklyn Nets,Houston Rockets,2,Toyota Center
12/28,8:00 PM,7:00 PM,B2B,Cleveland Cavaliers,Minnesota Timberwolves,1,Target Center
12/28,8:00 PM,8:00 PM,3IN4-B2B,Philadelphia 76ers,Miami Heat,B2B,American Airlines Arena
12/28,8:00 PM,8:00 PM,1,New York Knicks,Washington Wizards,1,Capital One Arena
12/28,8:30 PM,5:30 PM,1,Dallas Mavericks,Golden State Warriors,3IN4-B2B,Chase Center
12/28,8:30 PM,7:30 PM,1,Detroit Pistons,San Antonio Spurs,1,AT&T Center
12/28,8:30 PM,7:30 PM,B2B,Orlando Magic,Milwaukee Bucks,3IN4-B2B,Fiserv Forum
12/28,9:00 PM,6:00 PM,B2B,Phoenix Suns,Sacramento Kings,1,Golden 1 Center
12/28,10:00 PM,7:00 PM,2,Los Angeles Lakers,Portland Trail Blazers,1,Moda Center
12/28,10:30 PM,7:30 PM,1,Utah Jazz,Los Angeles Clippers,2,Staples Center
12/29,6:00 PM,6:00 PM,3IN4,Oklahoma City Thunder,Toronto Raptors,B2B,Scotiabank Arena
12/29,8:00 PM,7:00 PM,1,Charlotte Hornets,Memphis Grizzlies,3IN4-B2B,FedExForum
12/29,8:00 PM,6:00 PM,3IN4-B2B,Sacramento Kings,Denver Nuggets,B2B,Pepsi Center
12/29,8:00 PM,7:00 PM,B2B,Houston Rockets,New Orleans Pelicans,B2B,Smoothie King Center
12/29,9:30 PM,6:30 PM,3IN4-B2B,Dallas Mavericks,Los Angeles Lakers,B2B,Staples Center
12/30,7:00 PM,7:00 PM,3IN4,Atlanta Hawks,Orlando Magic,3IN4,Amway Center
12/30,7:00 PM,7:00 PM,3IN4,Miami Heat,Washington Wizards,1,Capital One Arena
12/30,8:00 PM,7:00 PM,1,Brooklyn Nets,Minnesota Timberwolves,1,Target Center
12/30,8:00 PM,7:00 PM,3IN4,Milwaukee Bucks,Chicago Bulls,1,United Center
12/30,9:00 PM,7:00 PM,1,Detroit Pistons,Utah Jazz,1,Vivint Smart Home Arena
12/30,10:00 PM,7:00 PM,3IN4,Phoenix Suns,Portland Trail Blazers,1,Moda Center
12/31,3:00 PM,3:00 PM,2,Boston Celtics,Charlotte Hornets,1,Spectrum Center
12/31,3:00 PM,3:00 PM,2,Philadelphia 76ers,Indiana Pacers,2,Bankers Life Fieldhouse
12/31,5:00 PM,2:00 PM,2,Los Angeles Clippers,Sacramento Kings,3IN4,Golden 1 Center
12/31,7:00 PM,7:00 PM,2,Cleveland Cavaliers,Toronto Raptors,3IN4,Scotiabank Arena
12/31,7:00 PM,6:00 PM,3IN4,Denver Nuggets,Houston Rockets,3IN4,Toyota Center
12/31,7:00 PM,6:00 PM,2,Golden State Warriors,San Antonio Spurs,2,AT&T Center
12/31,8:00 PM,7:00 PM,3IN4,Dallas Mavericks,Oklahoma City Thunder,1,Chesapeake Energy Arena
1/1,6:00 PM,6:00 PM,1,Orlando Magic,Washington Wizards,1,Capital One Arena
1/1,7:30 PM,7:30 PM,1,Portland Trail Blazers,New York Knicks,3+,Madison Square Garden
1/1,8:00 PM,7:00 PM,1,Minnesota Timberwolves,Milwaukee Bucks,1,Fiserv Forum
1/1,10:30 PM,7:30 PM,1,Phoenix Suns,Los Angeles Lakers,2,Staples Center
1/2,7:00 PM,7:00 PM,1,Charlotte Hornets,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
1/2,7:00 PM,7:00 PM,1,Denver Nuggets,Indiana Pacers,1,Bankers Life Fieldhouse
1/2,7:30 PM,7:30 PM,1,Toronto Raptors,Miami Heat,2,American Airlines Arena
1/2,8:00 PM,7:00 PM,2,Utah Jazz,Chicago Bulls,2,United Center
1/2,8:00 PM,7:00 PM,1,Golden State Warriors,Minnesota Timberwolves,3IN4-B2B,Target Center
1/2,8:30 PM,7:30 PM,2,Brooklyn Nets,Dallas Mavericks,1,American Airlines Center
1/2,8:30 PM,7:30 PM,1,Oklahoma City Thunder,San Antonio Spurs,1,AT&T Center
1/2,10:00 PM,7:00 PM,3+,Memphis Grizzlies,Sacramento Kings,1,Golden 1 Center
1/2,10:30 PM,7:30 PM,2,Detroit Pistons,Los Angeles Clippers,1,Staples Center
1/3,7:00 PM,7:00 PM,3+,Atlanta Hawks,Boston Celtics,2,TD Garden
1/3,7:00 PM,7:00 PM,B2B,Miami Heat,Orlando Magic,1,Amway Center
1/3,7:00 PM,7:00 PM,1,Portland Trail Blazers,Washington Wizards,1,Capital One Arena
1/3,8:00 PM,7:00 PM,2,Philadelphia 76ers,Houston Rockets,2,Toyota Center
1/3,9:00 PM,6:00 PM,1,New York Knicks,Phoenix Suns,1,Talking Stick Resort Arena
1/3,10:30 PM,7:30 PM,3+,New Orleans Pelicans,Los Angeles Lakers,1,Staples Center
1/4,3:30 PM,12:30 PM,1,Memphis Grizzlies,Los Angeles Clippers,1,Staples Center
1/4,6:00 PM,6:00 PM,1,Toronto Raptors,Brooklyn Nets,1,Barclays Center
1/4,7:00 PM,7:00 PM,1,Utah Jazz,Orlando Magic,3IN4-B2B,Amway Center
